danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,spotify_link,duration_ms,time_signature,genre,song_name
0.262,0.897,4,-2.712,0,0.398,0.0237,0.0,0.11,0.253,199.651,2x7mBK5ozd9hwneRKMVpkD,https://open.spotify.com/track/2x7mBK5ozd9hwneRKMVpkD,153104,4,Dark Trap,Finger Trembling
0.726,0.634,2,-6.8439999999999985,1,0.0792,0.5529999999999999,4.43e-06,0.0916,0.318,211.95,3NSgQjYihV40pOmn8AQevz,https://open.spotify.com/track/3NSgQjYihV40pOmn8AQevz,126850,5,Dark Trap,Antarctica
0.923,0.94,9,-5.8279999999999985,1,0.16,0.0204,9.67e-06,0.136,0.8390000000000001,139.804,0efgEM1LQDbK43rqPH2Iyd,https://open.spotify.com/track/0efgEM1LQDbK43rqPH2Iyd,187260,4,Dark Trap,Sneak Diss (feat. So6ix)
0.569,0.7120000000000001,1,-4.9110000000000005,0,0.34700000000000003,0.378,3.41e-05,0.14400000000000002,0.0711,157.231,2U03OmZKC7YIPkYBgJnJfA,https://open.spotify.com/track/2U03OmZKC7YIPkYBgJnJfA,145451,1,Dark Trap,Some of Us May Never See the World
0.818,0.7090000000000001,11,-4.425,1,0.269,0.00511,0.0,0.259,0.452,120.058,05ConZJSdJrCGeurdurJ7m,https://open.spotify.com/track/05ConZJSdJrCGeurdurJ7m,136777,4,Dark Trap,Sweat
0.703,0.536,11,-4.323,1,0.297,0.000883,0.0112,0.139,0.161,180.048,0vWwLLUSleBmyBGmL5GbLv,https://open.spotify.com/track/0vWwLLUSleBmyBGmL5GbLv,107050,4,Dark Trap,Anabolic
0.596,0.8809999999999999,4,-4.566,0,0.269,0.00319,2.37e-06,0.0798,0.235,172.139,6IBsaKAy1kDhsqDK9niOht,https://open.spotify.com/track/6IBsaKAy1kDhsqDK9niOht,67030,4,Dark Trap,Electric
0.841,0.516,2,-12.32,1,0.28,0.0892,0.0,0.0781,0.26,120.007,1RlZcBrZ2215I0RIS5ElT0,https://open.spotify.com/track/1RlZcBrZ2215I0RIS5ElT0,152137,4,Dark Trap,Hooky
0.7390000000000001,0.463,0,-5.4510000000000005,0,0.293,0.00673,0.0,0.423,0.0457,200.092,7EuMuKPHTUKw97m0KJHbtx,https://open.spotify.com/track/7EuMuKPHTUKw97m0KJHbtx,175386,4,Dark Trap,Kalaxian Crystals
0.775,0.634,0,-7.535,1,0.105,0.17600000000000002,1.78e-06,0.0628,0.521,200.064,0yOvaZL3DVgvYjzYKfilSF,https://open.spotify.com/track/0yOvaZL3DVgvYjzYKfilSF,184189,4,Dark Trap,BROKE ft. Prohibeo
0.725,0.578,10,-8.311,0,0.0864,0.0259,0.000117,0.387,0.0595,129.961,6NGpZZYR8pzj7jo6oc2icJ,https://open.spotify.com/track/6NGpZZYR8pzj7jo6oc2icJ,133068,4,Dark Trap,Terry McGinnis
0.63,0.8759999999999999,10,-4.871,0,0.189,0.0166,0.0,0.223,0.256,210.134,3YmPKPB5B6bfCZYgF0wmiq,https://open.spotify.com/track/3YmPKPB5B6bfCZYgF0wmiq,150831,4,Dark Trap,Gremlin
